абажур|lampshade
скидка, уступка в цене|abatement
скиталец|ranger
склад бондовый|bonded warehouse
склад, депо|depot
склад|hangar
склад|warehouse
складирование|warehousing
складывать, укладывать|stow
склон горы|hillside
склонение к прелюбодеянию|lascivious behaviour
склонный, готовый|willing
склонный|prone
склоняться|incline
сковорода|pan
скольжение, скользить|slip
скользить|slide
скользить|slide, slid, slid
скользящая шкала|sliding scale
скользящий|sliding
сколько времени, как долго|how long
сколько|how many
сколько|how many, how much
сколько|how much
скопление|congestion
скорее, лучше|rather
скоро, рано|soon
скоро|shortly
скороварка|pressure cooker
скоропортящиеся товары|perishable goods
скоропортящийся продукт|perishable food
скорости|speeds
скорости|velocities
скорость|velocity
скороход|walker
скорпион|scorpion
скорый поезд|fast train
скотоложество|bestiality
скрепить печатью|affix a seal
скреплять печатью|enseal
скреплять подписью|countersign
скрипка|violin
скромный|modest
скромный|retiring
скручивать, выжимать|wring, wrung, wrung
скрывать, утаивать|conceal
скрытое действие|act convert
скрытый дефект|hidden defect
скрытый дефект|latent defect
скрытый|latent
Скрыть свой номер|Restrict My Number
скудный|scarce
скука|bore
скульптура|sculpture
скумбрия|mackerel
скучный|boring
слабоумие|imbecility
слабый, незначительный|slight
слабый, хилый|feeble
слабый|slack
слабый|weak
слава|glory
сладкий картофель|sweet potatoes
сладкий|sweet
сладости (магазин)|candy store
слегка|slightly
след, курс|track
следить|keep track of
следить|trace
следовал|devolved along with
следовательно, в результате|consequently
следовательно|hence
следовательно|investigator
следовательно|therefore
следовать за чем-л.,достигать цели, преуспевать (in)|succeed
следовать, следить|follow
следственные органы|organs of inquiry
следственный орган|organ of inquiry
следствие, результат|consequence
следствие|investigation
следует (от shall)|should
следует|follows
следующий, после|following
следующий, соседний, затем, потом|next
слезоточивые вещества|lachrymatory agents
слива|plum
сливки, крем|cream
сливовый сок|plum juice
сливочное масло|butter
сливочные пирожные|cream pastries
сливы (от plum)|plums
слиток, болванка|ingot
слияние корпораций|consolidation of corporations
слияние, поглощение|merger
слова (от word)|words
словарь|dictionary
словарь|lexicon
словесное оскорбление|harsh language
словесный, устный, буквальный|verbal
слово, текст|word
сложение, добавление|adding
сложение, добавление|addition
сложения|additions
сложивший оружие|laying down arms
сложил оружие|laid down arms
сложить оружие|lay down arms
сложность|complexity
сложность|complication
сложный, составной, комплексный|complex
сложный|complicated
сложный|involved
сложный|sophisticated
слон|elephant
служащие (от employee)|employees
служащий таможни|customs official
служащий, офицер|officer
служащий; работающий по найму|employee
служащий|servant
Служба коротких сообщений|SMS Messages
служебная тайна|official secret
служебные обязанности|functional responsibilities
служебный адрес, адрес предприятия|business address
служить, обслуживать, подавать|serve
слух|rumour
случай, событие|happening
случай|occasion
случайная ошибка|accidental error
случайное происшествие|casualty
случайное убийство|homicide by misadventure
случайность|fortuitous accident
случайный, произвольный|random
случайный|fortuitous
случайный|occasional
случаться, происходить|happen
случаться, происходить|occur
случился (от happen)|happened
слушал (от listen)|listened
слушание дела при закрытых дверях|hearing in camera
слушание|hearing
слушать|listen
слушаться|obey
слышал|heard
слышать|hear, heard, heard
смежная зона|contiguous zone
смел, отважился|dared
смело|bravely
смелый, отважный|courageous
смелый|audacious
смена, перемещать|shift
смена|relay
Сменить приветствие|Change Greeting
сменять|spell
смертельно|deadly
смертельное телесное повреждение|deadly injury
смертная казнь по усмотрению суда|discretionary capital penalty
смертные приговоры|death penalties
смертный приговор|judgement of death
смертоносное оружие|deadly weapon
смерть, гибель|death
смеситель, миксер|mixer
смеситель|blender
смета сводная|consolidated budget
сметана|sour cream
сметать|sweep
сметь, отважиться|dare
смех, смеющийся|laughing
смешанное предприятие|joint enterprise
смешанный брак|outmarriage
смешанный тип экономики|mixed economy
смешанный|mixed
смешивать|mix
смешить|amuse
смешно|ridiculously
смешной|humorous
смешной|ridiculous
смещение|shifting
смещенный|offset
смеялся, хохотал (от laugh)|laughed
смеяться|laugh
смородиновый сок|currant juice
смотреть в лицо|envisage
смотреть на|look at
смотреть, встречаться|see
смотреть, выглядеть, взгляд, внешность|look
смотровая расписка|bill of sight
смотрящий (от look)|looking
смущать, приводить в замешательство|confuse
смущение, замешательство, беспорядок|confusion
смытый (от wash)|washed
смягчать приговор|remit the sentence
смягчать|alleviate
смягчающие вину обстоятельства|attenuating circumstances
снабжать силовым двигателем|power
снабжать, снабжение|supply
снабжение торговой маркой|branding
снабжение, условие, положение|provision
снаружи, вне помещения, на улице|outside
снаружи|without
снаряд|shell
снаряжение, оборудование|equipment
снег,|snow
снегопад|snowfall
снежинка|snowflake
снижаться|go down
снижение цены, величина скидки|markdown
сниженная цена|cut price
снимать блокаду|raise blockade
снимать деньги со счета, отменять|withdraw
снимать, переезжать|remove
снова, опять|again
сносить, плыть по течению|drift
сноска |footnote
снятие ареста|release from attachment
сняться с якоря|to weigh anchor
со льдом|with ice
со скидкой|at cut rates
со сливками|with cream
соавторы|joint authors
собака|dog
собирание, выемка (от collection)|collections
собирание|gathering
собирать милостыню|gather alms
собирать, созывать|gather
собирать, срывать|pick
собирать|collect
собирать|mass
собирать|rally
собираться что-либо сделать|be going to
собой|himself
соболезновать|condole
собор|cathedral
собрание свободных граждан|folk moot
собрание сочинений|collected works
собрание, ассамблея|assembly
собрание, скопление|collection
собрание, сходка, конгрегация|congregation
собрание, съезд|convention
собрание|meeting
собранный (от collect)|collected
собственная марка|own label
собственноручная подпись|sign manual
собственность частная|private property
собственность, имущество|property
собственность|ownership
собственный, свой|own
событие, случай, исход, результат|event
события преступления|event of crime
события|events
сова|owl
совершать кражу со взломом|burglarize
совершать посадку|to make a landing
совершать преступление|perpetrate a crime
совершение брака|solemnization
совершенно, вполне|perfectly
совершенно, полностью, исключительно|entirely
совершенно, полностью|completely
совершеннолетие|full age
совершеннолетие|lawful age
совершеннолетие|legal age
совершенный противной стороной|adversely done
совершенный|perfect
совершивший измену супруг|adulterous spouse
совершить протест|enter a protest
совесть, сознание|conscience
совет барристеров|council of the bar
совет, муниципалитет, совещание|council
совет|advice
советник, член муниципалитета|councillor
советник|adviser
советник|counsellor
советовать, предлагать|suggest
советовать|advise
советоваться, справляться|consult
Советский|Soviet
совещание судей|breaking case
совещательный, консультативный|advisory
совещательный, консультативный|consultative
совладелец|stakeholder
совместимый, согласующийся|consistent
совместная декларация|mutual declaration
совместная налоговая декларация|joint returns
совместная собственность|joint property
совместная собственность|ownership in common
совместно нажитое имущество|jointly acquired property
совместное владение|tenancy in common
совместное владение|unity of possession
совместное заседание|joint sitting
совместное имущество|joint estate
совместное право на наследство|coparcenary
совместное представительство|mutual agency
совместное финансирование|consolidated financing
совместные завещания|joint wills
совместный владелец|tenant in common
совместный, объединенный|joint
совместный, сотрудничающий, кооперативный|co-operative
совместный|jointly
совок для мусора|dustpan
совокупность гражданских прав|free law
совокупность доказательств|body of evidence
совокупность доказательств|cumulative evidence
совокупность наказаний|cumulative punishments
совокупность правовых норм|body of laws
совокупность преступлений|cumulative offences
совокупность, множество|totality
совокупность|aggregate
совокупный доход|joint income
совокупный риск|aggregate risk
совокупный спрос|aggregate demand
совпадать, соответствовать|coincide
совпадающие голоса|concurring votes
совпадающие приговоры|concurrent sentences
совпадение|coincidence
современный, новый|modern
современный|contemporary
современный|present
современный|present-day
совсем|quite
согласие на причинение телесного вреда|consent to bodily injury
согласие, единодушие|consensus
согласие, разрешение|consent
согласие, соглашение|concord
согласие|accord
согласие|concurrence
согласительная комиссия|joint conference
согласиться на возврат|consent to a reimbursement
согласно|as per
согласованный допуск|agreed tolerance
согласованный|agreed
согласованный|concerted
соглашаться, согласовываться|agree
соглашение джентльменское|gentlemen's agreement
соглашение о ленд-лизе|lend-lease agreement
соглашение о намерении|agreement of intent
соглашение о передаче|devolution agreement
соглашение о предоставлении исключительных прав агенту|exclusive agency agreement
соглашение о семейном разделе имущества|family settlement
соглашение об отмене виз|visa abolition agreement
соглашение с кредиторами|deed of arrangement
соглашение, сделка|deal
соглашение, согласие|agreement
содействие в продаже товара или услуг|promotion
содержал под стражей|had a custody
содержал, вмещал|contained
содержание под стражей|safe keeping
содержание|tenor
содержать по стражей|keep in custody
содержать под стражей|have a custody
содержать, сдерживать|contain
содержать, хранение|hold
содержать|include
содержащий санкцию|vindicatory
содержащий|containing
содержимое, суть, удовлетворение|content
содержимое|contents
содержит|contains
содолжники|joint debtors
содолжники|joint promisors
соединение|combining
соединение|coupling
соединение|joining
соединение|junction
соединения|interconnections
соединенный, объединенный|amalgamated
соединенный|united
соединять (по телефону)|put through
соединять, присоединять|associate
соединять, связывать, пара|couple
соединять, связывать|connect
соединяющий (по телефону)  (от put through)|putting through
соединяющийся, соединение|merging
соедпнять(ся), присоединять(ся);  вступать|join
сожалеть|deplore
сожалеть|regret
сожалеющий, печальный, унылый|sorry
создaет|creates
создавать презумпцию|raise presumption
создавать, творить|create
создал|created
создание, творение|creature
создание|creating
создание|creation
созданный, основанный|based
созданный, создал, сконструировал|constructed
создатель|former
сознающий, сознание|conscious
сознающий|aware
созывать, собирать|convene
созывать|assemble
сойка|jay
сойти с поезда|to get off the train
сойтись в цене, сговориться|split the difference
сок манго|mango juice
сок|juice
сокол|falcon
сокращать|rebate
сокращать|shorten
сокращенный, сократил|abbreviated
сокращенный|shrunk
сокредиторы|joint creditors
сокровищница|treasury
солдат|soldier
соленые грибы|pickled mushrooms
соленый|salted
солидарно|jointly and severally
солидарность|solidarity
солидарный|joint and several
солиситор|solicitor
солист|soloist
солнечный свет|sunlight
солнечный свет|sunshine
солнечный|sunny
солнце|sun
соло|solo
соловей|nightingale
солома|straw
солонка|salt shaker
соль, соленый, солить|salt
солянка|spicy thick soup
солярий|sun-deck
сомневающийся|doubtful
сомнение, сомневаться|doubt
сомнительная операция|jobbery
сомнительный|questionable
сон, дремота, дремать|slumber
сон, мечта, видеть сны|dream
соображения|considerations
сообразно, согласно|consistently
сообщaет|tells
сообщать|inform
сообщаться, взаимодействовать|communicate
сообщение, поручение|message
сообщение, связь, общение|communication
Сообщения по каналу сотовой связи|Cell Broadcast
сообщения|messages
сообщенный|reported
сообщил (от inform)|informed
сообщить|notify
сооружать|cove
соответственно, в соответствии|according
соответственно|accordingly
соответственно|respectively
соответственный|respective
соответствие товара|conformity of the goods
соответствие|accordance
соответствие|adequacy
соответствие|conformity
соответствовать|conform
соответствовать|correspond
соответствующий; подходящий; имеющий отношение|pertinent
соответствующий|corresponding
соответствующий|proper
соотношение, коэффициент|ratio
соперник, конкурент|competitor
соперник, претендент|contender
соперник, соперничающий|rival
соперник|opponent
соперничество|rivalry
сопоручитель|co-signer
сопоставлять, предоставлять|confer
сопроводительное письмо|covering letter
сопроводительный (от forward)|forwarding
сопроводительный|covering
сопровождать|accompany
сопровождающий|accompanying
сопротивление представителю власти|obstructing the officer
сопротивление представителю власти|resistance to authority
сопротивление|resistance
сопротивляться|resist
сопутствующие обстоятельства|attending circumstances
соревнование, конкуренция|competition
соревнования (от competition)|competitions
сорок|forty
сорока|magpie
сорт, доброжелательный|kind
сортировать|sort
сортировка, браковка|bracking
сортировка, классификация|grading
сортировка|sorting
сосед|neighbour
соседний|neighbouring
соседство|neighbourhood
сосиска|sausage
сосиски|frankfurters
сосиски|frankfurters, wieners
сословное положение|birth status
сослуживец, коллега|colleague
сосна|pine tree
сособственники|joint owners
состав клиентуры|customer mix
состав преступления|corpus delicti
составил диспашу|adjustmented of the average
составил документ|settled document
составитель фактур|invoicing agent
составить каталог|compile a catalogue
составить список покупок|to make a shopping list
составление сметы, бюджета|budgeting
составлять (документ), снимать деньги|draw up
составлять акт|take formal note
составлять диспашу|adjustment of the average
составлять план|plot
составлять протокол|execute a proces-verbal
составлять список присяжных|empannel
составлять, основывать|constitute
составлять|make up
составное преступление|divisible crime
составной индекс|composite index
составной, сложный|composite
составной|compound
состоит (от consist)|consists
состояние войны|belligerency
состояние вопроса, уровень развития науки|state of art
состояние, положение, государство, штат, заявлять, констатировать|state
состояние, положение|position
состоять из|consist of
состоять, заключаться|consist
состояться|take place
состоящий|consisting
состязание в скорости|racing
состязательная система|adversary system
состязаться, конкурировать|compete
сосуд, контейнер|container
сосулька|icicle
сосуществование|coexistence
сотовый телефон|cellular phone
сотрудник|contributor
сотрудничать, взаимодействовать|co-operate
сотрудничать|collaborate
сотрудничающий, способствующий|contributory
сотрудничество, кооперация|co-operation
сотрудничество|collaboration
сотрудничество|cooperation
соуправляющий|co-manager
соус, приправа, поливать соусом|sauce
соучастие|complicity
соучастник измены|partner in adultery
софа, диван|sofa
сохрaнять, резервирование|backup
сохранение, содержание, обслуживание|maintenance
сохранение|preservation
сохранная расписка|trust receipt
сохранять|preserve
сохранять|shrine
социально|socially
социальный|social
сочетание|pairing
сочинение, композиция|composition
сочинять, составлять|compose
сочный, дождливый|juicy
сочувственный|sympathetic
сочувствие|sympathy
сочувствовать|sympathise
союз|alliance
союз|union
союзник|ally
союзы (от union)|unions
соя|soybean
спагетти|spaghetti
спад, кризис|slump
спал (от sleep)|slept
спальное купе с туалетом|roomette
спальные принадлежности|bedding
спальный вагон|sleeper
спальня|bedroom
спальня|bed-room
спаниель|spaniel
спаржа|asparagus
спасал (от save)|saved
спасатель|salvor
спасательная шлюпка|lifeboat
спасательный пояс|life belt
спасение, спасать|rescue
спасение|salvage
спасение|salvation
спасибо|thanks
спаситель|rescuer
спать, сон|sleep
спать|sleep, slept, slept
спекулятивный|speculative
спелый|ripe
спецдоставка|special delivery
специализированный (от specialize)|specialized
специализироваться, главный|major
специализироваться|specialize
специалист по общим вопросам|generalist
специалист|specialist
специалисты|specialists
специальная категория|special class
специальное соглашение|ad hoc arrangement
специальности (от speciality)|specialities
специальный представитель|special deputy
специальный|special
специи|spices
спецификация, технические требования|specification
специфическая пошлина|specific duty
специфически|specifically
специфический|specific
специя|spice
спецменю|special menu
спецрейс, чартерный рейс|charter flight
спешащий, сильно, быстро|fast
спешил, торопился (от hurry)|hurried
спешить, торопиться, спешка|hurry
спешить|hasten
спешить|speed
спидвей|speedway
спидометр|speedometer
спина, обратный, поддерживать|back
списанная стоимость|written-down value (WDV)
списанный|written-off
список избирателей|poll
список кандидатов для государственной службы|eligible list
список лиц, группа|panel
список присяжных|juri list
список, таблица|list
спичка, матч|match
сплетня|gossip
спокойный|sedate
спокойствие|transguility
спонтанно|spontaneously
спор о праве|issue in law
спор о факте|issue in fact
спор, аргумент|argument
спор, конфликт|dispute
спор, соревнование|contest
спорить, аргументировать|argue
спорная территория|batable ground
спорный вопрос|controversial question
спорный вопрос|matter in controversy
спорный вопрос|matter of argument
спорный, полемический|controversial
спорный|at issue
спорный|impugnable
спорный|moot
спорный|vexed
спорт (отдел)|sports goods
спорт, заниматься спортом|sport
спорт, спортивные соревнования (от sport)|sports
спортивная обувь|sporting shoes
спортивный|sporting
спортклуб|health-club
спортсмен|sportsman
споры о новизне|litigation concerning novelty
способ, метод|manner
способ, отношение|way
способ|mode
способность, власть, факультет|faculty
способность, возможность делать что-л. (at, in; to+inf.)|ability
способность, возможность|capability
способность|capacity
способный|capable
способствовать; помогать, продвигать|facilitate
способствовать|promote
способы предъявления|communication modalities
спотыкаться|stumble
справедливая война|just war
справедливая зарплата|fair wages
справедливо|rightly
справедливость|justice
справедливый и беспристрастный суд|fair and just trial
справиться, совладать|cope
справка о деле|preliminary memorandum
справка о доброкачественном состоянии продуктов|certificate of health
справка, аттестат|certificate
справляться|master
справочная|directory assistance
справочник, указатель|directory
справочник|reference book
справочное (от inquiry)|inquiries
справочное бюро|inquiry office
спрашивает (от ask)|asks
спрашивать|inquire
спрашивать|question
спрашивающий, просящий|asking
спровоцированная ошибка|invited error
спроектировaл, созданный|designed
спрос и предложение|demand and supply
спрос на рынке|market demand
спрос платежеспособный|effective demand
спросить|ask
спуск|launching
спутник|satellite
спшить, мчаться|speed, sped, speeded
спящий|asleep
сравнение|comparison
сравнивать цены|to compare prices
сравнивать|compare
сравнил (от compare)|compared
сравнимый|comparable
сравнительно|comparatively
сравнительный, относительный|comparative
сражаться|fight
сразу, сейчас же|at once
среда|Wednesday
среди, между|among
средневековый|medieval
среднесрочный|intermediate-term
средний по продолжительности|medium-term
средний, второстепенный|secondary
средний, сносный (о здоровье)|middling
средний, составлять в среднем|average
средний|medium
средний|mid
средний|middle
средних лет|middle-aged
средняя степень|medium-scale
средства заемные, средства привлеченные|borrowed funds
средства замороженные|frozen funds
средства к существованию, жилой|living
средства массовой информации|media
средства неликвидные|illiquid funds
средства оборотные|circulating funds
средства собственные|internal funds
средства|aids
средства|funds
средства|resources
средства|tools
средство судебной защиты|relief at law
средство, способ|means
средство|remedy
сродни; близкий, похожий|akin
срок векселя|term of bill
срок векселя|value date
срок давности|prescriptive limit
срок исковой давности|period of limitation
срок на размышление|time for reflection
срок нормативный|normative period
срок платежа|maturity
срок погашения кредита|credit payments period
срок поставки|delivery date
срок службы продукта|life-time of product
срок службы, возраст|age
срок службы|service life
Срок хранения сообщений|Expiry Period
срок хранения|shelf life
срок, период обучения|apprenticeship
срок, период|period
срочная работа|rush job
срочно высылать|rush
срочно|urgently
срочность|urgency
срочный вексель|time bill
срочный заказ-наряд|rush order
срочный контракт|forward contract
срочный|urgent
срыв|disrupting
срывать|disrupt
ссориться|quarrel
ссуда безвозвратная|non-repayable subsidy
ссуда беспроцентная|interest-free loan
ссуда до востребования|call loan
ссуда под залог|advance on pawn
ссуда под обеспечение|advance against security
ссуда просроченная|bad loan
ссуда процентная|interest bearing loan
ссуда срочная|fixed-date loan
ссуда|loan
ссудно-кредитное общество|loan company
ссудодатель, арендодатель|bailor
ссылаться на иммунитет|invoke immunity
ссылаться, цитировать|cite
ссылка на закон|count upon a statute
ссылка, изгонять|exile
ссылка, упоминание|reference
ссылка, цитирование|citation
стабилизировалось, стабильный (от stabilize)|stabilized
ставил|staked
ставить в опасность здоровье|endanger health
ставить в опасность имущество|endanger property
ставить на голосование|take ballot
ставить печать|seal
ставить условием, обусловливать|stipulate
ставка аккордная|blanket rate
ставка базисная, основная заработная плата|basic rate
ставка банковская учетная|bank discount rate
ставка двойная|dual rate
ставка льготная|preferential rate
ставка, делать ставку|stake
ставни|shutters
ставящий на голосование|taking ballot
стагнация, застой|stagnation
стадион|stadium
стадия совершения преступления|degree in the commission of crime
стадо, пастух|herd
стажер, практикант|trainee
сталкиваться|collide
сталь, стальной|steel
стандарт допуска ценных бумаг|listing standard
стандарт отраслевой|branch standard
стандарт экологический|ecological standard
стандартизация|standardization
стандартизированный|standardized
стандартизировать|standardize
стандартный блок|building-block
стандартный|conventional
стандартный|standard
стандарты|standards
станки (от machine-tool)|machine-tools
становился, стал (от become)|became
становится (от become)|becomes
становиться, делаться|become
становиться|become, became, become
становящийся|becoming
станок, машина|machine
станок|machine-tool
станция техобслуживания|car-service station
станция техобслуживания|service station
станция, стоянка, пост, база|station
старание, усилие|endeavour
стараться|strive
старение, вызревание, созревание|ageing
старомодный|old-fashioned
староста присяжных|foreman of the jury
старт, начало, отправляться, начинаться|start
стартер|starter
стартовый|starting
старший инспектор|chief inspector
старший судья|senior judge
старший, самый старый|oldest
старший|elder
старший|senior
старший|superior
старшинство|seniority
старшинство|superiority
старый, в возрасте|aged
старый, обветшалый, подержанный|worn
старый|old
статистика|statistics
статистический|statistical
статус иждивенца|dependency status
статус собственности|status of ownership
Статус телефона PIN-код заблокирован|Phone Status
статус|status
статутное право|statutory law
стать|become, became
статьи бюджета|budget shares
статья , имеющая обязательный характер|mandatory article
статья расходов|expense item
статья, изделие|article
статья|item
стекло|glass
стена|wall
степень интеграции|integration
степень, размер, величина|extent
степень, ранг, класс, звание, уровень; качество, сорт|grade
стерео|stereo
Стереть все номера|Erase All Numbers
стержень|rod
стержень|stem
стиль управления|managerial style
стиль, фасон, прическа|style
стимул|incentive
стимул|indorsement
стимул|spur
стимулирование|stimulation
стимулировать, поощрять|stimulate
стиральная машина (ам.)|washer
стиральная машина (бр.)|washing machine
стихи (от poem)|poems
стихийное бедствие|act of God
стихийное бедствие|natural disaster
стихийный|elemental
стихотворение, поэма|poem
сто, сотня|hundred
стоимость в сутки|daily rate
стоимость имущества после очистки долгов|clear value
стоимость кредита, либор|libor
стоимость нормативная|standard cost
стоимость остаточная|residual value
стоимость оценочная|assessed value
стоимость проезда (в поезде и т. п.)|fare
стоимость разгрузки в порту и доставки товаров на склад|landing charges
стоимость рекламных услуг|advertising rates
стоимость фрахта|freight inward
стоимость хранения|cost of storage
стоимость|expense
стоит (от rate)|rates
стоить|cost, cost, cost
стоить|to cost
стойка для регистрации|check-in counter
сток|drain
стол, редакция газеты|desk
столб, почта|post
столбцы|columns
столетие, век|century
столик|coffee table
столица, капитал, прописной|capital
столичный|metropolitan
столкновение, сталкиваться|clash
столкновения|collision
столоваться|board
столовая ложка|tablespoon
столовая|canteen
столовая|dining room
столовая|dining-room
сторожевая охрана|watching
сторона , одержавшая победу|band-wagon
сторона в споре|parties at issue
сторона в споре|parties at variance
сторона в споре|party at variance
сторона виновная|responsible party
сторона по делу|litigant
сторона, боковой, рядом|side
сторона, партия, участник|party
сторона|hand
сторона|signatory
сторонник|backer
сторонник|supporter
стороны (от party)|parties
стороны (от side)|sides
стороны договаривающиеся|contracting parties
стоянка автомашин|parking
стоянка|parking lot
стояночное время|lay time
стоять на страже закона|enforce the law
стоять против|confront
стоять/сидеть лицом к|face
стоять|stand
стоять|stand, stood, stood
стоящий, дельный|worthwhile
стоящий|standing
стр. верхний свет, застеклённая крыша|skylight
страдать; испытывать, претерпевать|suffer
страдающий морской болезнью|sea-sick
страдающий от воздушной болезни|airsick
страна, государство|nation
страна, местность, сельская местность|country
страница|page
страницы|pages
странный|odd
странным образом|strangely
страны - кредиторы|donor countries
страны (от country)|countries
страсти (от feeling)|feelings
страстно|passionately
страстный|keen
страстный|passionate
страсть|passion
стратегический|strategic
стратегия|strategy
страх, опасение, бояться, опасаться|fear
страх|terror
страхование грузов|cargo insurance
страхование добровольное|voluntary insurance
страхование домашнего имущества|insurance of contents
страхование жизни|life assurance
страхование жизни|life insurance
страхование инвалидности|disability insurance
страхование корпуса судна|hull insurance
страхование на случай пережития|survivors' insurance
страхование на случай потери кормильца|survivors' benefits insurance
страхование на условиях "все риски"|all risks insurance
страхование обязательное|obligatory insurance
страхование от военного риска|war risk insurance
страхование от гражданской ответственности за ущерб|insurance of public liability
страхование от краж|burglary insurance
страхование от несчастных случаев|assurance
страхование по старости|old age insurance
страхование строений|insurance of building
страхование ценностей|insurance of valuables
страхователь жизни|life insurer
страховать|secure
страховая инспекционная служба|insurance inspection service
страховая компания|assurance company
страховая компания|insurance company
страховая стоимость|insurable value
страховая сумма|sum insured
страховка, страхование|insurance
страховое покрытие|insurance coverage
страховой агент|insurance salesman
страховой взнос|insurance premium
страховой полис|insurance policy
страховой сертификат|cover note
страховой случай|insured accident
страховой случай|peril unsured against
страховщик|insurer
страховщик|underwriter
стрелять|shoot, shot, shot
стремиться, иметь в виду, цель|aim
стремление|aspiration
стрижка|hair-cut
строгие ограничения|heavy restrictions
строгий надзор|close supervision
строгий, жестокий|severe
строгий|stern
строго без скидки|strictly net
строго|severely
строго|strictly
строгость|austerity
строил, построенный (от build)|built
строитель|builder
строительный, конструктивный|constructive
строительство, конструкция|construction
строить, конструировать|construct
строить, создавать|build
строить|build, built, built
строить|erect
строить|parade
стройный|slim
строка, линия|line
строки, линии|lines
строки|rows
стронций|strontium
струйка|trickle
структура металл-оксид-полупроводник, МОП-структура|MOS
структура, строение, остов|framework
структура|structure
структурный|structured
структуры|structures
стручковая фасоль|green beans
стряпня|cooking
студент, студентка|student
студенты (от student)|students
студия|studio
стул|chair
ступень, степень, ранг, звание|degree
стучать, колотить|knock
стыд, стыдить, стыдиться|shame
стюард|steward
стюардесса|hostess
стюардесса|stewardess
субаренда, поднаем|sublease
субаренда|subtenancy
субарендатор|under-tenant
суббота|Saturday
сублицензия|sublicence
субподряд|subcontract
субпоставщик, субподрядчик|subcontractor
суброгация, замена одного кредитора другим|subrogation
суброгировать|subrogate
субсидиарное право|subsidiary law
субсидия|bounty
субсидия|subsidy
субсчет|subaccount
субчартер|subcharter
субъект права|person of law
субъект права|subject of law
субъект, эго|ego
сувенир|souvenir
сувениры (от souvenir)|souvenirs
